image_file,group_key,gt_type,gt_part,gt_integrity,gt_material,baseline_pred_type,baseline_pred_part,baseline_pred_integrity,baseline_pred_material,al_pred_type,al_pred_part,al_pred_integrity,al_pred_material,baseline_correct_type,baseline_correct_part,baseline_correct_integrity,baseline_correct_material,al_correct_type,al_correct_part,al_correct_integrity,al_correct_material,wins_count,regressions_count,both_wrong_count
data/raw/images/М102-2012-1-0529_orig.jpg,М102-2012-1-0529,изразец,__MISSING__,фрагмент,керамика,изразец,прочее,фрагмент,керамика,изразец,прочее,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/М102-2012-1-0603_orig.jpg,М102-2012-1-0603,изразец,__MISSING__,фрагмент,керамика,изразец,ручка,фрагмент,керамика,изразец,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/М102-2012-1-0611_orig.jpg,М102-2012-1-0611,изразец,__MISSING__,фрагмент,керамика,изразец,профиль,фрагмент,керамика,изразец,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/М102-2012-1-0827_orig.jpg,М102-2012-1-0827,тарелка,__MISSING__,фрагмент,фаянс,тарелка,донце,фрагмент,фарфор,тарелка,венчик,фрагмент,фаянс,1,0,1,0,1,0,1,1,1,0,1
data/raw/images/М102-2012-1-0837_orig.jpg,М102-2012-1-0837,тарелка,__MISSING__,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/М102-2012-1-0847_orig.jpg,М102-2012-1-0847,тарелка,__MISSING__,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/М102-2012-2-1028_orig.jpg,М102-2012-2-1028,тарелка,профиль,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,1,1,1,1,1,1,1,1,0,0,0
data/raw/images/М102-2012-2-1248_orig.jpg,М102-2012-2-1248,блюдце,донце,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/М102-2012-2-1271_orig.jpg,М102-2012-2-1271,блюдце,__MISSING__,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,0,0,1,1,1,0,1,1,1,0,1
data/raw/images/М102-2012-2-1279_orig.jpg,М102-2012-2-1279,крышка,__MISSING__,фрагмент,стекло,крышка,ручка,фрагмент,фарфор,крышка,ручка,фрагмент,фарфор,1,0,1,0,1,0,1,0,0,0,2
data/raw/images/М102-2012-2-1313_orig.jpg,М102-2012-2-1313,блюдце,донце,фрагмент,фарфор,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фарфор,0,1,1,0,0,1,1,1,1,0,1
data/raw/images/М102-2012-2-1423_orig.jpg,М102-2012-2-1423,миска,венчик,фрагмент,керамика,миска,профиль,фрагмент,керамика,миска,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/БП11-Р01-тех-0069_orig.jpg,БП11-Р01-тех-0069,крышка,__MISSING__,целый,фаянс,крышка,ручка,целый,фарфор,крышка,ручка,целый,фарфор,1,0,1,0,1,0,1,0,0,0,2
data/raw/images/Кроп-2013-218_orig.jpg,Кроп-2013-218,миска,венчик,фрагмент,керамика,миска,профиль,фрагмент,керамика,миска,венчик,фрагмент,керамика,1,0,1,1,1,1,1,1,1,0,0
data/raw/images/Кроп-2013-262_orig.jpg,Кроп-2013-262,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,тарелка,профиль,фрагмент,фарфор,1,1,1,1,1,0,1,0,0,2,0
data/raw/images/Кроп-2013-266_orig.jpg,Кроп-2013-266,блюдце,донце,фрагмент,фарфор,блюдце,донце,фрагмент,фаянс,блюдце,профиль,фрагмент,фаянс,1,1,1,0,1,0,1,0,0,1,1
data/raw/images/Кроп-2013-267_orig.jpg,Кроп-2013-267,тарелка,профиль,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,1,1,1,1,1,1,1,1,0,0,0
data/raw/images/Кроп-2013-421_orig.jpg,Кроп-2013-421,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,1,1,1,1,1,1,1,1,0,0,0
data/raw/images/Кроп-2013-Тр2-050_orig.jpg,Кроп-2013-Тр2-050,блюдце,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,1,1,1,1,1,1,1,1,0,0,0
data/raw/images/Кроп-2013-Тр2-053_orig.jpg,Кроп-2013-Тр2-053,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,1,1,1,1,1,1,1,1,0,0,0
data/raw/images/Нев11-Г02-033_orig.jpg,Нев11-Г02-033,тарелка,донце,фрагмент,керамика,тарелка,донце,фрагмент,керамика,тарелка,профиль,фрагмент,фаянс,1,1,1,1,1,0,1,0,0,2,0
data/raw/images/Нев11-Г04-185_orig.jpg,Нев11-Г04-185,тарелка,венчик,фрагмент,керамика,тарелка,профиль,фрагмент,керамика,тарелка,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нев11-Г05-056_orig.jpg,Нев11-Г05-056,крышка,__MISSING__,фрагмент,керамика,тарелка,венчик,фрагмент,керамика,тарелка,венчик,фрагмент,керамика,0,0,1,1,0,0,1,1,0,0,2
data/raw/images/Нев11-под-001_orig.jpg,Нев11-под-001,__MISSING__,__MISSING__,целый,керамика,изразец,донце,фрагмент,фаянс,изразец,донце,фрагмент,керамика,0,0,0,0,0,0,0,1,1,0,3
data/raw/images/БП12-Г01-0732_orig.jpg,БП12-Г01-0732,миска,профиль,фрагмент,керамика,изразец,венчик,фрагмент,керамика,изразец,профиль,фрагмент,керамика,0,0,1,1,0,1,1,1,1,0,1
data/raw/images/БП12-Г01-0774_orig.jpg,БП12-Г01-0774,крышка,__MISSING__,фрагмент,керамика,тарелка,венчик,фрагмент,керамика,крышка,профиль,фрагмент,керамика,0,0,1,1,1,0,1,1,1,0,1
data/raw/images/БП12-Г01-1713_orig.jpg,БП12-Г01-1713,изразец,__MISSING__,фрагмент,керамика,изразец,донце,фрагмент,керамика,изразец,донце,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/БП12-Г01-1956_orig.jpg,БП12-Г01-1956,изразец,__MISSING__,фрагмент,керамика,изразец,венчик,фрагмент,керамика,изразец,венчик,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/БП12-Г01-2476_orig.jpg,БП12-Г01-2476,тарелка,профиль,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,1,1,1,1,1,1,1,1,0,0,0
data/raw/images/БП12-Г01-3218_orig.jpg,БП12-Г01-3218,крышка,ручка,фрагмент,керамика,изразец,профиль,фрагмент,керамика,изразец,профиль,фрагмент,керамика,0,0,1,1,0,0,1,1,0,0,2
data/raw/images/БП12-Г01-3511_orig.jpg,БП12-Г01-3511,крышка,ручка,фрагмент,керамика,крышка,ручка,фрагмент,фаянс,крышка,ручка,фрагмент,фаянс,1,1,1,0,1,1,1,0,0,0,1
data/raw/images/БП12-Г01-5772_orig.jpg,БП12-Г01-5772,крышка,__MISSING__,фрагмент,керамика,тарелка,профиль,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,0,0,1,0,0,0,1,0,0,0,3
data/raw/images/БП12-Г01-5844_orig.jpg,БП12-Г01-5844,тарелка,донце,фрагмент,фаянс,тарелка,профиль,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,1,0,1,0,1,0,1,0,0,0,2
data/raw/images/БП12-Г01-5990_orig.jpg,БП12-Г01-5990,крышка,__MISSING__,фрагмент,керамика,тарелка,профиль,фрагмент,керамика,миска,профиль,фрагмент,керамика,0,0,1,1,0,0,1,1,0,0,2
data/raw/images/БП12-Г01-6335_orig.jpg,БП12-Г01-6335,изразец,__MISSING__,фрагмент,керамика,изразец,донце,фрагмент,керамика,изразец,донце,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/БП12-Г01-6525_orig.jpg,БП12-Г01-6525,блюдце,__MISSING__,фрагмент,фарфор,тарелка,профиль,фрагмент,фаянс,блюдце,профиль,фрагмент,фаянс,0,0,1,0,1,0,1,0,1,0,2
data/raw/images/БП12-Г01-6540_orig.jpg,БП12-Г01-6540,тарелка,__MISSING__,фрагмент,фаянс,блюдце,донце,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,0,0,1,0,0,0,1,0,0,0,3
data/raw/images/БП12-Г01-7005_orig.jpg,БП12-Г01-7005,блюдце,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,1,1,1,1,1,1,1,1,0,0,0
data/raw/images/БП12-Г02-1422_orig.jpg,БП12-Г02-1422,миска,__MISSING__,целый,керамика,миска,профиль,фрагмент,керамика,миска,профиль,целый,керамика,1,0,0,1,1,0,1,1,1,0,1
data/raw/images/БП12-Г02-3656_orig.jpg,БП12-Г02-3656,крышка,__MISSING__,фрагмент,фаянс,крышка,профиль,фрагмент,керамика,миска,профиль,фрагмент,керамика,1,0,1,0,0,0,1,0,0,1,2
data/raw/images/БП12-Г02-3866_orig.jpg,БП12-Г02-3866,изразец,__MISSING__,фрагмент,керамика,изразец,донце,фрагмент,керамика,изразец,донце,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/БП12-Г02-4011_orig.jpg,БП12-Г02-4011,тарелка,профиль,фрагмент,керамика,тарелка,профиль,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,1,1,1,0,1,1,1,0,0,0,1
data/raw/images/КБ-2014-Р1-0094_orig.jpg,КБ-2014-Р1-0094,__MISSING__,__MISSING__,целый,керамика,изразец,донце,фрагмент,керамика,изразец,профиль,фрагмент,керамика,0,0,0,1,0,0,0,1,0,0,3
data/raw/images/КБ-2014-Р1-0281_orig.jpg,КБ-2014-Р1-0281,тарелка,__MISSING__,фрагмент,фарфор,тарелка,донце,фрагмент,фарфор,тарелка,донце,фрагмент,фарфор,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/КБ-2014-Р1-0378_orig.jpg,КБ-2014-Р1-0378,тарелка,__MISSING__,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/КБ-2014-Р1-0446_orig.jpg,КБ-2014-Р1-0446,блюдце,__MISSING__,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/КБ-2014-Р2-0094_orig.jpg,КБ-2014-Р2-0094,тарелка,донце,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,1,0,1,1,0,0,1,1,0,1,1
data/raw/images/КБ-2014-Р2-0197_orig.jpg,КБ-2014-Р2-0197,тарелка,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,0,1,1,1,0,1,1,1,0,0,1
data/raw/images/КБ-2014-Р2-0221_orig.jpg,КБ-2014-Р2-0221,крышка,__MISSING__,фрагмент,фарфор,крышка,ручка,фрагмент,фарфор,крышка,ручка,фрагмент,фарфор,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/КБ-2014-Р2-0320_orig.jpg,КБ-2014-Р2-0320,изразец,__MISSING__,фрагмент,керамика,изразец,профиль,фрагмент,керамика,изразец,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/КБ-2014-Р2-0394_orig.jpg,КБ-2014-Р2-0394,тарелка,профиль,фрагмент,фарфор,тарелка,донце,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,1,0,1,1,1,1,1,1,1,0,0
data/raw/images/КБ-2014-Р2-0432_orig.jpg,КБ-2014-Р2-0432,блюдце,донце,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,блюдце,донце,фрагмент,фарфор,1,0,1,1,1,1,1,1,1,0,0
data/raw/images/КБ-2014-Р2-0478_orig.jpg,КБ-2014-Р2-0478,тарелка,__MISSING__,фрагмент,стекло,тарелка,донце,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,1,0,1,0,1,0,1,0,0,0,2
data/raw/images/КБ-2014-Р2-0632_orig.jpg,КБ-2014-Р2-0632,изразец,__MISSING__,целый,керамика,изразец,профиль,целый,керамика,изразец,профиль,целый,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/КБ-2014-Р2-0651_orig.jpg,КБ-2014-Р2-0651,миска,профиль,фрагмент,керамика,тарелка,профиль,фрагмент,керамика,тарелка,профиль,фрагмент,фаянс,0,1,1,1,0,1,1,0,0,1,1
data/raw/images/КБ-2014-Р3-0070_orig.jpg,КБ-2014-Р3-0070,тарелка,профиль,фрагмент,фарфор,тарелка,донце,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,1,0,1,1,1,1,1,1,1,0,0
data/raw/images/КБ-2014-Р3-0073_orig.jpg,КБ-2014-Р3-0073,тарелка,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,0,1,1,1,0,1,1,1,0,0,1
data/raw/images/КБ-2014-Р3-0105_orig.jpg,КБ-2014-Р3-0105,блюдце,венчик,фрагмент,фарфор,тарелка,донце,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,0,0,1,1,1,0,1,1,1,0,1
data/raw/images/КБ-2014-Р3-0151_orig.jpg,КБ-2014-Р3-0151,крышка,__MISSING__,фрагмент,керамика,крышка,ручка,фрагмент,керамика,крышка,ручка,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/КБ-2014-Р3-0253_orig.jpg,КБ-2014-Р3-0253,изразец,__MISSING__,целый,керамика,изразец,профиль,фрагмент,керамика,изразец,профиль,фрагмент,керамика,1,0,0,1,1,0,0,1,0,0,2
data/raw/images/КБ-2014-Р3-0391_orig.jpg,КБ-2014-Р3-0391,крышка,__MISSING__,фрагмент,фаянс,крышка,профиль,целый,фарфор,крышка,профиль,целый,фарфор,1,0,0,0,1,0,0,0,0,0,3
data/raw/images/КБ-2014-Р3-0543_orig.jpg,КБ-2014-Р3-0543,крышка,ручка,фрагмент,керамика,крышка,ручка,целый,керамика,крышка,ручка,целый,керамика,1,1,0,1,1,1,0,1,0,0,1
data/raw/images/КБ-2014-Р4-081_orig.jpg,КБ-2014-Р4-081,тарелка,__MISSING__,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/КБ-2014-Р4-551_orig.jpg,КБ-2014-Р4-551,миска,__MISSING__,фрагмент,фаянс,тарелка,профиль,фрагмент,керамика,тарелка,профиль,фрагмент,керамика,0,0,1,0,0,0,1,0,0,0,3
data/raw/images/КБ-2014-Р5-0103_orig.jpg,КБ-2014-Р5-0103,тарелка,донце,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,тарелка,профиль,целый,фарфор,1,0,1,1,1,0,0,0,0,2,1
data/raw/images/КБ-2014-Р5-0106_orig.jpg,КБ-2014-Р5-0106,миска,__MISSING__,фрагмент,керамика,миска,профиль,фрагмент,керамика,миска,профиль,целый,керамика,1,0,1,1,1,0,0,1,0,1,1
data/raw/images/КБ-2014-Р5-0422_orig.jpg,КБ-2014-Р5-0422,тарелка,донце,фрагмент,фаянс,крышка,профиль,фрагмент,фарфор,блюдце,профиль,фрагмент,фарфор,0,0,1,0,0,0,1,0,0,0,3
data/raw/images/КБ-2014-Р6-187_orig.jpg,КБ-2014-Р6-187,тарелка,венчик,фрагмент,керамика,миска,венчик,фрагмент,керамика,миска,венчик,фрагмент,керамика,0,1,1,1,0,1,1,1,0,0,1
data/raw/images/ЛАО-2012-М102-Ш5-195_orig.jpg,ЛАО-2012-М102-Ш5-195,тарелка,профиль,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,тарелка,профиль,фрагмент,фарфор,1,1,1,1,1,1,1,0,0,1,0
data/raw/images/ЛАО-2012-М102-Ш5-196_orig.jpg,ЛАО-2012-М102-Ш5-196,тарелка,профиль,фрагмент,фаянс,тарелка,профиль,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,1,1,1,0,1,1,1,0,0,0,1
data/raw/images/Маяк-11-Ш1-06_orig.jpg,Маяк-11-Ш1-06,крышка,__MISSING__,фрагмент,фарфор,крышка,ручка,целый,фарфор,крышка,ручка,целый,фарфор,1,0,0,1,1,0,0,1,0,0,2
data/raw/images/Нц-102-1523_orig.jpg,Нц-102-1523,__MISSING__,__MISSING__,фрагмент,__MISSING__,тарелка,венчик,фрагмент,керамика,изразец,венчик,фрагмент,керамика,0,0,1,0,0,0,1,0,0,0,3
data/raw/images/Нц-106-03_orig.jpg,Нц-106-03,тарелка,профиль,фрагмент,фаянс,тарелка,профиль,фрагмент,керамика,тарелка,профиль,фрагмент,керамика,1,1,1,0,1,1,1,0,0,0,1
data/raw/images/Нц-23-0261_orig.jpg,Нц-23-0261,изразец,__MISSING__,фрагмент,керамика,изразец,профиль,фрагмент,керамика,изразец,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-23-2266_orig.jpg,Нц-23-2266,тарелка,__MISSING__,фрагмент,керамика,миска,венчик,фрагмент,керамика,миска,венчик,фрагмент,керамика,0,0,1,1,0,0,1,1,0,0,2
data/raw/images/Нц-24-129_orig.jpg,Нц-24-129,миска,венчик,фрагмент,керамика,изразец,венчик,фрагмент,керамика,изразец,венчик,фрагмент,керамика,0,1,1,1,0,1,1,1,0,0,1
data/raw/images/Нц-24-190_orig.jpg,Нц-24-190,миска,венчик,фрагмент,керамика,тарелка,донце,фрагмент,керамика,изразец,венчик,фрагмент,фаянс,0,0,1,1,0,1,1,0,1,1,1
data/raw/images/Нц-25-0068_orig.jpg,Нц-25-0068,изразец,__MISSING__,фрагмент,керамика,изразец,профиль,фрагмент,керамика,изразец,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-25-0652_orig.jpg,Нц-25-0652,изразец,__MISSING__,фрагмент,керамика,изразец,ручка,фрагмент,керамика,изразец,ручка,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-25-0730_orig.jpg,Нц-25-0730,изразец,__MISSING__,фрагмент,керамика,изразец,донце,фрагмент,керамика,изразец,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-25-0759_orig.jpg,Нц-25-0759,изразец,__MISSING__,фрагмент,керамика,изразец,прочее,фрагмент,керамика,изразец,прочее,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-27-470_orig.jpg,Нц-27-470,изразец,__MISSING__,фрагмент,керамика,изразец,профиль,фрагмент,керамика,изразец,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-27-481_orig.jpg,Нц-27-481,изразец,__MISSING__,фрагмент,керамика,изразец,венчик,фрагмент,керамика,изразец,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-29-17_orig.jpg,Нц-29-17,изразец,__MISSING__,фрагмент,керамика,изразец,профиль,фрагмент,керамика,изразец,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-30-689_orig.jpg,Нц-30-689,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,1,1,1,1,1,1,1,1,0,0,0
data/raw/images/Нц-30-705_orig.jpg,Нц-30-705,тарелка,венчик,фрагмент,керамика,миска,венчик,фрагмент,керамика,миска,венчик,фрагмент,керамика,0,1,1,1,0,1,1,1,0,0,1
data/raw/images/Нц-30-716_orig.jpg,Нц-30-716,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,1,1,1,1,1,1,1,1,0,0,0
data/raw/images/Нц-30-736_orig.jpg,Нц-30-736,тарелка,__MISSING__,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-30-899_orig.jpg,Нц-30-899,блюдце,профиль,фрагмент,__MISSING__,миска,профиль,фрагмент,керамика,миска,профиль,фрагмент,керамика,0,1,1,0,0,1,1,0,0,0,2
data/raw/images/Нц-30-935_orig.jpg,Нц-30-935,изразец,__MISSING__,фрагмент,керамика,изразец,профиль,фрагмент,керамика,изразец,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-31-0639_orig.jpg,Нц-31-0639,изразец,прочее,фрагмент,керамика,изразец,донце,фрагмент,керамика,изразец,венчик,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-31-0850_orig.jpg,Нц-31-0850,тарелка,__MISSING__,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,миска,профиль,фрагмент,керамика,1,0,1,1,0,0,1,0,0,2,1
data/raw/images/Нц-32-0136_orig.jpg,Нц-32-0136,тарелка,__MISSING__,фрагмент,керамика,изразец,донце,фрагмент,керамика,тарелка,донце,фрагмент,керамика,0,0,1,1,1,0,1,1,1,0,1
data/raw/images/Нц-32-0217_orig.jpg,Нц-32-0217,миска,венчик,фрагмент,керамика,миска,профиль,фрагмент,керамика,миска,профиль,фрагмент,керамика,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-32-0509_orig.jpg,Нц-32-0509,тарелка,__MISSING__,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,тарелка,профиль,фрагмент,фарфор,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-33-1349_orig.jpg,Нц-33-1349,тарелка,венчик,фрагмент,керамика,тарелка,венчик,фрагмент,керамика,тарелка,профиль,фрагмент,керамика,1,1,1,1,1,0,1,1,0,1,0
data/raw/images/Нц-33-2988_orig.jpg,Нц-33-2988,тарелка,__MISSING__,фрагмент,фаянс,тарелка,донце,фрагмент,фаянс,тарелка,профиль,фрагмент,фаянс,1,0,1,1,1,0,1,1,0,0,1
data/raw/images/Нц-33-3732_orig.jpg,Нц-33-3732,тарелка,донце,фрагмент,керамика,тарелка,донце,фрагмент,керамика,тарелка,донце,фрагмент,керамика,1,1,1,1,1,1,1,1,0,0,0
data/raw/images/Нц-33-5144_orig.jpg,Нц-33-5144,тарелка,профиль,фрагмент,керамика,тарелка,профиль,фрагмент,керамика,тарелка,профиль,фрагмент,керамика,1,1,1,1,1,1,1,1,0,0,0
data/raw/images/Нц-33-5640_orig.jpg,Нц-33-5640,тарелка,__MISSING__,фрагмент,фаянс,тарелка,венчик,фрагмент,керамика,тарелка,венчик,фрагмент,фаянс,1,0,1,0,1,0,1,1,1,0,1
