pool,image_file,group_key,code,name,description,raw_label,norm_label,pred_label,confidence,uncertainty_score,noise_score,embedding_outlier,disagreement,combined_score,quality_flag,flag_uncertain,flag_incomplete,flag_conflict,flag_rare,noise_reasons,layout_mode,bg_type,foreground_ratio,has_scale_bar,has_overlay_text,reason_flag
val_gold,data/raw/images/КБ-2014-Р2-0332_orig.jpg,КБ-2014-Р2-0332,КБ-2014-Р2-0332,Крышка,Сосуда красноглиняного с белой внутри и коричневой снаружи крышка фр-ая,Керамика,керамика,фарфор,0.3277,0.6723,0.1,0.7275,1,0.9444,incomplete,0,1,0,0,incomplete_1,multi_view,light_photo,0.4597,0,0,genuinely_hard
test_gold,data/raw/images/Нев11-под-001_orig.jpg,Нев11-под-001,Нев11-под-001,Плитка,Плитка метлахская восьмиугольная белого цвета с надписью на тыльной стороне ,Керамика,керамика,фаянс,0.3978,0.6022,0.2,0.6948,1,0.9399,incomplete,0,1,0,0,incomplete_2,single_object,white_uniform,0.3209,0,0,genuinely_hard
test_gold,data/raw/images/Нейш3А-2018-1476_orig.jpg,Нейш3А-2018-1476,Нейш3А-2018-1476,Тарелка,Тарелочки?прозрачного бесцветного стекла с волнообразным краем и рельефным цветочным орнаментом снаружи донца профиль,Стекло,стекло,фарфор,0.4896,0.5104,0.4,0.5689,1,0.9379,uncertain,1,0,0,0,uncertain_text,single_object,white_uniform,0.2835,0,0,label_noise_suspect
test_gold,data/raw/images/М102-2012-1-0827_orig.jpg,М102-2012-1-0827,М102-2012-1-0827,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,Фаянс,фаянс,фарфор,0.5242,0.4758,0.5,0.4196,1,0.9242,uncertain,1,1,0,0,uncertain_text;incomplete_1,single_object,light_photo,0.2131,0,0,label_noise_suspect
test_gold,data/raw/images/Нейш3А-2018-0741_orig.jpg,Нейш3А-2018-0741,Нейш3А-2018-0741,Тарелка,Тарелки фаянсовой с красным цветочным и геометрическим орнаментом внутри по венчику профиль,Фаянс,фаянс,фарфор,0.3437,0.6563,0.0,0.5721,1,0.8769,clean,0,0,0,0,,multi_view,light_photo,0.5235,0,0,genuinely_hard
train_seed,data/raw/images/Нц-45-1296_orig.jpg,Нц-45-1296,Нц-45-1296,Крышка,Крышка фаянсовая с золотым кантом,Фаянс,фаянс,фарфор,0.5877,0.4123,0.1,0.7831,1,0.8515,incomplete,0,1,0,0,incomplete_1,single_object,white_uniform,0.2391,0,0,genuinely_hard
val_gold,data/raw/images/Нейш3А-2018-3692_orig.jpg,Нейш3А-2018-3692,Нейш3А-2018-3692,Игрушка ёлочная,Игрушка ёлочная прозрачного бесцветного хрупкого стекла в виде головы клоуна в колпаке,Стекло,стекло,керамика,0.5764,0.4236,0.2,0.5758,1,0.8446,incomplete,0,1,0,0,incomplete_2,single_object,light_photo,0.3676,0,0,genuinely_hard
val_gold,data/raw/images/Нейш3А-2018-0254_orig.jpg,Нейш3А-2018-0254,Нейш3А-2018-0254,Тарелка,"Тарелки фаянсовой с геометрическим орнаментом (зеленый, коричневый) по краю венчика фр-т",Фаянс,фаянс,керамика,0.4223,0.5777,0.0,0.5178,1,0.8346,clean,0,0,0,0,,single_object,light_photo,0.3065,0,0,genuinely_hard
test_gold,data/raw/images/М102-2012-2-1279_orig.jpg,М102-2012-2-1279,М102-2012-2-1279,Крышка,Сосуда прозрачного стекла крышки фр-т,Стекло,стекло,фарфор,0.4789,0.5211,0.1,0.4754,1,0.8335,incomplete,0,1,0,0,incomplete_1,single_object,white_uniform,0.2935,0,0,genuinely_hard
test_gold,data/raw/images/Нейш3А-2018-4499_orig.jpg,Нейш3А-2018-4499,Нейш3А-2018-4499,Крышка,Крышка прозрачного светло-зеленого стекла круглая,Стекло,стекло,фаянс,0.5262,0.4738,0.1,0.5162,1,0.8228,incomplete,0,1,0,0,incomplete_1,single_object,white_uniform,0.4168,0,0,genuinely_hard
val_gold,data/raw/images/Нейш3А-2018-1660_orig.jpg,Нейш3А-2018-1660,Нейш3А-2018-1660,Блюдце,Блюдца фарфорового с золотистым линейным орнаментом внутри клейменого профиль,Керамика,керамика,фарфор,0.8674,0.1326,0.3,0.887,1,0.8205,conflict,0,0,1,0,conflict_material=керамика_vs_desc_фарфор,multi_view,light_photo,0.5714,0,0,label_noise_suspect
test_gold,data/raw/images/Нейш3А-2018-0189_orig.jpg,Нейш3А-2018-0189,Нейш3А-2018-0189,Крышка,Крышки прозрачного темно-зеленого стекла фр-т,Стекло,стекло,фаянс,0.5451,0.4549,0.1,0.5243,1,0.8168,incomplete,0,1,0,0,incomplete_1,single_object,light_photo,0.3331,0,0,genuinely_hard
val_gold,data/raw/images/Нейш3А-2018-5959_orig.jpg,Нейш3А-2018-5959,Нейш3А-2018-5959,Крышка,Крышечка красноглиняная с темно-коричневой поливой снаружи и внутри круглая с фр-том круглой ручки в центре,Керамика,керамика,фаянс,0.6216,0.3784,0.0,0.7452,1,0.8004,clean,0,0,0,0,,single_object,light_photo,0.3481,0,0,genuinely_hard
test_gold,data/raw/images/Нейш3А-2018-4945_orig.jpg,Нейш3А-2018-4945,Нейш3А-2018-4945,Блюдце,Блюдце фарфоровое с черной и зеленой отводкой края и с черно-белым цветочным орнаментом внутри клейменое,Фарфор,фарфор,фаянс,0.5381,0.4619,0.1,0.405,1,0.7958,incomplete,0,1,0,0,incomplete_1,multi_view,light_photo,0.5397,0,0,genuinely_hard
test_gold,data/raw/images/Т-12-Р2-2946_orig.jpg,Т-12-Р2-2946,Т-12-Р2-2946,Крышка,Сосуда фаянсового крышки орнаментированной фр-т,Фаянс,фаянс,фарфор,0.7615,0.2385,0.1,0.7839,1,0.7822,incomplete,0,1,0,0,incomplete_1,single_object,white_uniform,0.3472,0,0,genuinely_hard
test_gold,data/raw/images/Нц-46-150_orig.jpg,Нц-46-150,Нц-46-150,Крышка,Крышка сахарницы(?) фаянсовая с ручкой с белой поливой внутри и снаружи,Фаянс,фаянс,фарфор,0.9519,0.0481,0.4,0.7074,1,0.7807,uncertain,1,0,0,0,uncertain_text,single_object,white_uniform,0.2907,0,0,label_noise_suspect
test_gold,data/raw/images/ВО-1л58-2017-0799_orig.jpg,ВО-1л58-2017-0799,ВО-1л58-2017-0799,Тарелка,Тарелки фарфоровой с белой поливой снаружи и внутри с синим геометрическим орнаментом по краю венчика фр-т,Фарфор,фарфор,фаянс,0.594,0.406,0.0,0.5911,1,0.7806,clean,0,0,0,0,,single_object,white_uniform,0.2398,0,0,genuinely_hard
val_gold,data/raw/images/Нейш3А-2018-0118_orig.jpg,Нейш3А-2018-0118,Нейш3А-2018-0118,Блюдце,Блюдца фарфорового клейменого донца фр-т,Фарфор,фарфор,фаянс,0.5595,0.4405,0.0,0.4806,1,0.7723,clean,0,0,0,0,,single_object,light_photo,0.2521,0,0,genuinely_hard
val_gold,data/raw/images/БП12-Г02-3984_orig.jpg,БП12-Г02-3984,БП12-Г02-3984,Блюдце,Блюдца фаянсового с кобальтовой росписью и рельефными стенками и краем профиль,Фаянс,фаянс,керамика,0.6062,0.3938,0.0,0.5656,1,0.7707,clean,0,0,0,0,,single_object,white_uniform,0.4029,0,0,genuinely_hard
test_gold,data/raw/images/Кроп-2013-266_orig.jpg,Кроп-2013-266,Кроп-2013-266,Блюдце,"Блюдце фарфоровое рельефное с клеймом на донце и зеленым подглазурным декольным растительно-пейзажным орнаментом, фрагментированное",Фарфор,фарфор,фаянс,0.5436,0.4564,0.0,0.438,1,0.7702,clean,0,0,0,0,,multi_view,light_photo,0.4153,0,0,genuinely_hard
test_gold,data/raw/images/Нейш3А-2018-4973_orig.jpg,Нейш3А-2018-4973,Нейш3А-2018-4973,Тарелка,Тарелки фарфоровой расписанной синим венчика фр-т,Фарфор,фарфор,фаянс,0.5599,0.4401,0.0,0.4486,1,0.7658,clean,0,0,0,0,,single_object,white_uniform,0.2613,0,0,genuinely_hard
val_gold,data/raw/images/БП12-Г02-1735_orig.jpg,БП12-Г02-1735,БП12-Г02-1735,Миска,Миски красноглиняной профиль,Красноглиняная керамика,керамика,фаянс,0.6192,0.3808,0.0,0.5429,1,0.7609,clean,0,0,0,0,,single_object,white_uniform,0.3242,0,0,genuinely_hard
val_gold,data/raw/images/БП12-Г02-2655_orig.jpg,БП12-Г02-2655,БП12-Г02-2655,Плитка,Плитки светлоглиняной с белой поливой и с кобальтовой росписью фр-т,Керамика,керамика,фаянс,0.8501,0.1499,0.2,0.6849,1,0.7569,incomplete,0,1,0,0,incomplete_2,single_object,white_uniform,0.3398,0,0,genuinely_hard
test_gold,data/raw/images/Нейш3А-2018-4972_orig.jpg,Нейш3А-2018-4972,Нейш3А-2018-4972,Тарелка,"Тарелки фарфоровой с зеленой поливой по венчику и с цветочным орнаментом (красный, зеленый, черный) на белом фоне на донце внутри клейменой профиль",Фарфор,фарфор,фаянс,0.6001,0.3999,0.0,0.4581,1,0.7516,clean,0,0,0,0,,single_object,white_uniform,0.3237,0,0,genuinely_hard
