code,name,description,material,size,fragm,cultlayer,execorg,survyear,image_file,match_rule,has_image,group_key,material_raw,type,type_is_missing,part,part_is_missing,integrity,integrity_is_missing,material_is_missing,label_is_uncertain,pool_candidate_labels_hidden
М102-2012-1-0494,Изразец,Изразца красноглиняного с белой поливой и кобальтовой (растительной либо сюжетной ?) росписью фр-т,__HIDDEN__,"7+ х 3,5+ х 1,1+ см",Фрагмент,Пестрая мешаная супесь,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0494_orig.jpg,startswith,1,М102-2012-1-0494,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,1,1
М102-2012-1-0585,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,__HIDDEN__,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0585_orig.jpg,startswith,1,М102-2012-1-0585,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,1,1
М102-2012-1-0691,Миска,"Миски серолощеной с орнаментом ""волна"" снаружи венчика фр-т",__HIDDEN__,D28 см,Фрагмент,Темно-серая сильногумусированная супесь (низ пестрой),ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0691_orig.jpg,startswith,1,М102-2012-1-0691,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
М102-2012-1-0851,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи края фигурного фр-т,__HIDDEN__,D ок20 см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0851_orig.jpg,startswith,1,М102-2012-1-0851,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
М102-2012-1-0942,Миска,Миски красноглиняной с белым ангобом внутри и снаружи профиль,__HIDDEN__,"D26 (донце), D21 (венчик) см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-0942_orig.jpg,startswith,1,М102-2012-1-0942,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
М102-2012-1-1008,Изразец,"Изразца красноглиняного с белой поливой, растительным орнаментом и монохромной растительной росписью фр-т",__HIDDEN__,"10,7+ х 6,4+ х 6+ см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,data/raw/images/М102-2012-1-1008_orig.jpg,startswith,1,М102-2012-1-1008,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
М102-2012-2-0538,Блюдце,Блюдца (?) фарфорового с полихромной растительной росписью и золотой окантовкой края фр-т,__HIDDEN__,D15 см,Фрагмент,Дерн,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-0538_orig.jpg,startswith,1,М102-2012-2-0538,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,1,1
М102-2012-2-1068,Плитка,Плитки напольной из каменной массы (?) с белой поливой края фр-т,__HIDDEN__,"10,5+ х 6,5+ х 1 см",Фрагмент,Битый кирпич,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1068_orig.jpg,startswith,1,М102-2012-2-1068,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,1,1
М102-2012-2-1123,Блюдце,Блюдца фарфорового с белой поливой снаружи и зеленой внутри донца фр-т,__HIDDEN__,D9 см,Фрагмент,Слой под мостовой 2,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1123_orig.jpg,startswith,1,М102-2012-2-1123,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
М102-2012-2-1166,Блюдце,Блюдца (?) фарфорового с белой поливой внутри и снаружи донца клейменого фр-т,__HIDDEN__,D9 см,Фрагмент,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1166_orig.jpg,startswith,1,М102-2012-2-1166,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,1,1
М102-2012-2-1267,Тарелка,Тарелки фаянсовой с белой поливой снаружи и кобальтовой растительно-геометрической росписью внутри края фр-т,__HIDDEN__,D26 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1267_orig.jpg,startswith,1,М102-2012-2-1267,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
М102-2012-2-1319,Тарелка,Тарелки фаянсовой с белой поливой снаружи и внутри края фр-т,__HIDDEN__,D25 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1319_orig.jpg,startswith,1,М102-2012-2-1319,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
М102-2012-2-1327,Плитка,Плитки белоглиняной облицовочной с белой поливой снаружи края фр-т,__HIDDEN__,"7,8+ х 5,4+ х 1,1 см",Фрагмент,,ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1327_orig.jpg,startswith,1,М102-2012-2-1327,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
